;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;floor;code;class
1;81;58;40;6;12.5;7;1;1;1;3;1
4;95;61;37;6;13.5;7;1;0;1;1;2
5;330;104;60;11;10.5;7;0;1;1;3;3
6;137;76;50;9;11;7;1;1;1;8;3
9;225;80;56;9;9;5;1;1;1;3;3
10;140;86;51;10;12.7;10;1;0;1;5;2
11;132;96;56;12;10.5;7;0;0;1;3;1
13;142;70;47;8;7.5;5;1;0;1;3;3
14;84;63;44;7;14.5;10;0;0;1;3;1
15;100;66;43;7;12;7;0;0;1;7;2
16;110;75;50;10;13.5;10;0;0;1;6;1
17;170;87;58;8;7.5;7;1;1;1;3;3
19;96;60;43;6;12;15;1;0;1;7;2
22;125;62;40;8;12.5;5;1;0;1;2;3
23;135;72;51;8;9;5;1;1;1;3;3
24;95;58;38;6;12;8;1;0;1;1;2
25;148;92;61;10;10.5;15;1;1;1;7;2
26;56;68;43;7;13.5;10;0;1;1;6;1
27;135;82;46;13;12;5;1;0;1;5;2
28;130;73;52;7;11;5;1;1;1;8;3
30;127;85;46;14;12;7;1;1;1;5;2
32;112;73;51;8;10.5;7;0;1;1;3;2
33;120;83;56;10;12;15;1;1;1;5;1
34;130;70;47;8;9;5;1;0;1;4;3
35;110;75;43;10;12.7;5;1;0;1;5;1
36;450;125;80;20;9;3;1;0;1;4;3
37;159;81;56;8;7.5;15;1;1;0;8;3
38;120;77;47;12;13.5;10;1;0;1;1;2
39;132;77;41;10;10;7;0;0;1;6;2
42;92;61;33;7;10.5;10;1;1;0;7;2
43;88;60;43;6;12;5;0;0;0;7;1
44;90;58;43;6;13.5;2;1;0;1;6;2
46;265;100;56;14;7;10;0;0;1;4;3
47;129;79;46;13;12;15;1;0;1;1;2
48;110;65;46;7;12.5;5;1;0;1;2;2
49;102;60;43;6;12;5;0;1;1;7;2
50;101;77;45;13;13;10;0;0;1;5;1
51;86;60;42;7;12;10;0;0;1;8;1
52;115;75;42;8;12;15;0;0;1;7;2
53;87;64;46;7;12;5;1;0;1;5;1
54;140;99;51;12;10.5;1;1;0;0;7;1
55;219;113;60;20;9;10;1;0;1;3;3
56;79;51;34;6;13.5;5;1;0;1;6;2
57;180;81;50;11;7.5;5;1;1;0;3;3
58;89;62;38;9;13;4;0;0;0;5;1
59;340;83;49;19;9;5;1;1;1;3;3
